chip_id,true_label,tprop_0h,tprop_24h,tprop_96h,tprop_168h,iddq_0h,iddq_24h,iddq_96h,iddq_168h
IC_0306,NOMINAL,12.089,12.121,12.215,12.231,11.533,11.897,12.499,12.477
IC_0307,NOMINAL,11.809,11.852,11.955,11.906,9.29,9.695,10.002,10.397
IC_0308,NOMINAL,12.502,12.534,12.542,12.585,10.657,11.039,11.404,11.774
IC_0309,NOMINAL,11.642,11.722,11.704,11.756,9.757,10.282,10.361,10.928
IC_0310,NOMINAL,11.925,11.91,11.996,12.052,9.739,10.087,10.234,10.591
IC_0311,NOMINAL,11.824,11.829,11.944,11.97,11.319,11.685,12.286,12.618
IC_0312,NOMINAL,12.579,12.573,12.641,12.732,10.99,11.404,11.911,11.901
IC_0313,NOMINAL,12.079,12.141,12.229,12.118,10.976,11.622,11.835,12.006
IC_0314,NOMINAL,12.413,12.482,12.541,12.555,11.567,11.961,12.444,12.693
IC_0315,NOMINAL,11.406,11.454,11.509,11.522,10.025,10.258,10.869,11.336
IC_0316,NOMINAL,12.107,12.183,12.146,12.25,10.818,11.344,11.433,11.719
IC_0317,NOMINAL,12.356,12.335,12.391,12.474,9.628,9.937,10.448,10.787
IC_0318,NOMINAL,12.033,12.126,12.132,12.205,10.389,10.392,11.254,11.397
IC_0319,NOMINAL,12.426,12.518,12.443,12.514,9.844,10.352,10.627,10.718
IC_0320,NOMINAL,11.793,11.857,11.949,11.979,10.116,10.469,11.011,11.401
IC_0321,NOMINAL,12.564,12.665,12.659,12.748,10.714,11.081,11.602,11.48
IC_0322,NOMINAL,12.92,12.882,13.147,13.149,9.018,9.432,9.764,10.146
IC_0323,NOMINAL,11.855,11.865,12.052,12.002,12.511,12.931,13.373,13.755
IC_0324,NOMINAL,11.822,11.82,11.908,11.984,8.793,9.249,9.887,9.697
IC_0325,NOMINAL,12.581,12.633,12.653,12.631,8.543,8.763,9.142,9.373
IC_0326,NOMINAL,12.632,12.619,12.769,12.692,11.39,11.831,12.149,12.719
IC_0327,NOMINAL,11.791,11.855,11.973,12.007,10.95,11.338,11.805,12.088
IC_0328,NOMINAL,11.832,11.911,11.848,11.961,10.749,11.163,11.537,11.453
IC_0329,NOMINAL,11.887,11.946,11.919,12.098,10.754,11.231,11.585,12.07
IC_0330,NOMINAL,11.462,11.498,11.52,11.538,9.985,10.153,10.574,11.154
IC_0331,NOMINAL,11.633,11.622,11.752,11.807,8.923,9.447,9.925,9.948
IC_0332,NOMINAL,11.598,11.588,11.696,11.797,10.091,10.302,10.953,11.07
IC_0333,NOMINAL,11.693,11.771,11.829,11.858,9.187,9.656,9.871,10.375
IC_0334,NOMINAL,11.986,12.049,12.044,12.166,11.17,11.62,11.771,12.182
IC_0335,NOMINAL,12.094,12.119,12.09,12.235,9.824,10.43,10.712,10.691
IC_0336,NOMINAL,12.62,12.634,12.756,12.72,9.009,9.357,9.756,10.276
IC_0337,NOMINAL,11.601,11.552,11.675,11.826,9.614,9.963,10.628,11.008
IC_0338,NOMINAL,12.394,12.385,12.426,12.549,10.496,10.915,11.141,11.78
IC_0339,NOMINAL,11.914,12.016,12.004,12.068,9.324,9.591,10.155,10.081
IC_0340,NOMINAL,11.98,11.956,12.103,12.062,9.013,9.472,9.587,10.275
IC_0341,NOMINAL,12.27,12.302,12.345,12.351,10.292,10.35,11.071,11.065
IC_0342,NOMINAL,11.551,11.626,11.648,11.793,10.294,10.568,11.26,11.473
IC_0343,NOMINAL,12.153,12.137,12.26,12.319,9.392,9.654,10.19,10.643
IC_0344,NOMINAL,12.067,12.103,12.148,12.279,9.435,9.938,10.179,10.694
IC_0345,NOMINAL,12.197,12.267,12.252,12.368,10.278,10.944,11.293,11.568
IC_0346,NOMINAL,12.116,12.145,12.183,12.195,8.262,8.605,9.077,9.342
IC_0347,NOMINAL,12.982,13.127,13.103,13.177,8.311,8.66,9.233,9.444
IC_0348,NOMINAL,11.745,11.701,11.835,11.845,9.138,9.438,10.081,9.969
IC_0349,NOMINAL,11.788,11.862,11.9,11.984,9.744,10.313,10.39,10.95
IC_0350,NOMINAL,11.751,11.768,11.79,11.878,10.373,10.53,11.276,10.835
IC_0351,NOMINAL,11.778,11.841,11.879,11.889,11.77,12.212,12.692,12.88
IC_0352,NOMINAL,11.745,11.795,11.765,11.922,11.029,11.575,11.785,12.2
IC_0353,NOMINAL,12.476,12.477,12.586,12.729,9.808,10.271,10.473,10.737
IC_0354,NOMINAL,12.568,12.6,12.701,12.708,9.977,10.287,10.577,10.836
IC_0355,NOMINAL,11.772,11.723,11.799,11.907,8.797,9.271,9.657,9.686
IC_0356,NOMINAL,11.667,11.717,11.729,11.845,9.978,9.89,10.666,11.143
IC_0357,NOMINAL,12.189,12.227,12.291,12.339,9.654,10.088,10.622,10.835
IC_0358,NOMINAL,11.779,11.828,11.907,11.911,10.387,10.579,10.816,11.141
IC_0359,NOMINAL,12.253,12.329,12.349,12.39,9.007,9.156,9.95,10.189
IC_0360,NOMINAL,12.081,12.125,12.151,12.245,10.623,11.063,11.245,11.645
IC_0361,NOMINAL,11.394,11.426,11.402,11.573,11.839,12.369,12.616,12.693
IC_0362,NOMINAL,12.619,12.611,12.714,12.73,9.869,10.187,10.757,10.861
IC_0363,NOMINAL,12.718,12.718,12.893,12.923,10.482,10.971,11.191,11.353
IC_0364,NOMINAL,11.755,11.832,11.865,11.909,10.828,11.441,11.264,11.712
IC_0365,NOMINAL,11.845,11.931,11.94,11.962,9.519,10.073,10.345,10.627
IC_0366,NOMINAL,12.114,12.138,12.24,12.334,10.269,10.936,11.273,11.56
IC_0367,NOMINAL,12.134,12.164,12.228,12.273,10.015,10.481,10.866,10.901
IC_0368,NOMINAL,12.263,12.262,12.347,12.478,10.117,10.561,11.267,11.48
IC_0369,NOMINAL,12.804,12.884,12.947,12.967,9.072,9.242,9.826,10.143
IC_0370,NOMINAL,11.929,11.981,12.021,12.058,10.029,10.301,10.82,10.945
IC_0371,NOMINAL,11.681,11.792,11.794,11.881,10.598,10.894,11.719,11.922
IC_0372,NOMINAL,11.448,11.437,11.488,11.585,11.741,12.361,12.131,12.573
IC_0373,NOMINAL,11.708,11.725,11.868,11.8,11.151,11.53,12.102,12.37
IC_0374,NOMINAL,11.987,12.023,12.103,12.085,12.584,12.938,13.257,13.461
IC_0375,NOMINAL,12.718,12.777,12.807,12.932,9.079,9.576,9.991,10.227
IC_0376,NOMINAL,11.793,11.817,11.943,11.964,11.047,11.466,12.019,12.189
IC_0377,NOMINAL,12.09,12.087,12.177,12.24,10.22,10.877,11.046,11.253
IC_0378,NOMINAL,11.993,12.061,12.069,12.11,12.628,12.935,13.419,13.74
IC_0379,NOMINAL,12.475,12.53,12.532,12.57,9.03,9.383,9.758,9.719
IC_0380,NOMINAL,13.011,12.997,13.017,13.053,8.992,9.17,9.473,9.739
IC_0381,NOMINAL,11.788,11.869,11.897,11.928,9.281,9.422,9.875,10.203
IC_0382,NOMINAL,11.804,11.875,11.812,11.91,7.451,7.663,8.229,8.275
IC_0383,NOMINAL,12.418,12.454,12.472,12.543,9.369,9.749,10.056,10.429
IC_0384,NOMINAL,12.273,12.302,12.278,12.411,9.089,9.355,9.926,10.019
IC_0385,NOMINAL,12.739,12.795,12.85,12.936,10.18,10.506,11.208,11.474
IC_0386,NOMINAL,12.234,12.229,12.328,12.478,10.41,10.576,10.992,11.613
IC_0387,NOMINAL,11.856,11.89,11.952,11.969,12.251,12.645,13.054,13.307
IC_0388,NOMINAL,12.236,12.174,12.274,12.409,11.141,11.212,11.981,11.804
IC_0389,NOMINAL,12.443,12.511,12.507,12.658,9.308,9.834,10.079,10.322
IC_0390,NOMINAL,12.328,12.299,12.46,12.477,8.922,9.356,9.792,10.047
IC_0391,NOMINAL,12.203,12.291,12.275,12.361,10.59,10.724,11.446,11.54
IC_0392,NOMINAL,12.427,12.443,12.539,12.567,8.416,8.741,9.362,9.356
IC_0393,NOMINAL,12.468,12.491,12.538,12.644,12.198,12.481,13.044,13.13
IC_0394,NOMINAL,12.553,12.552,12.641,12.743,11.415,11.767,12.002,12.21
IC_0395,NOMINAL,12.259,12.276,12.407,12.435,9.437,9.993,10.442,10.474
IC_0396,NOMINAL,11.933,12.017,12.047,12.098,7.944,8.002,8.96,8.996
IC_0397,NOMINAL,12.059,11.983,12.122,12.169,11.625,11.941,12.438,12.391
IC_0398,NOMINAL,12.483,12.56,12.582,12.566,9.863,10.172,10.62,10.75
IC_0399,NOMINAL,11.673,11.71,11.74,11.787,11.485,11.873,12.003,12.161
IC_0400,NOMINAL,12.147,12.122,12.223,12.315,8.087,8.399,8.586,8.878
IC_0401,NOMINAL,11.843,11.823,11.909,11.908,9.281,9.465,10.022,9.998
IC_0402,NOMINAL,12.011,12.113,12.119,12.152,10.006,10.386,11.023,11.308
IC_0403,NOMINAL,12.511,12.503,12.617,12.671,10.056,10.3,11.075,10.819
IC_0404,NOMINAL,12.076,12.065,12.151,12.22,9.46,10.05,10.512,10.623
IC_0405,NOMINAL,12.019,12.092,12.07,12.134,10.747,11.095,11.289,11.771
IC_0406,NOMINAL,11.456,11.496,11.488,11.578,8.719,9.329,9.602,9.67
IC_0407,NOMINAL,12.299,12.289,12.33,12.396,9.829,10.176,10.473,11.244
IC_0408,NOMINAL,12.258,12.294,12.302,12.366,10.144,10.383,10.857,11.178
IC_0409,NOMINAL,12.865,12.848,12.95,13.018,10.617,10.683,11.307,11.298
IC_0410,NOMINAL,11.877,11.951,11.942,11.985,10.854,10.96,11.994,11.911
IC_0411,NOMINAL,12.088,12.155,12.191,12.156,8.65,8.723,9.808,9.265
IC_0412,NOMINAL,12.1,12.151,12.201,12.234,8.159,8.573,9.083,9.209
IC_0413,NOMINAL,12.631,12.676,12.654,12.822,11.533,11.988,12.35,12.484
IC_0414,NOMINAL,11.962,12.056,12.068,12.082,10.399,10.462,11.148,11.388
IC_0415,NOMINAL,12.112,12.134,12.22,12.215,9.102,9.522,9.872,9.831
IC_0416,NOMINAL,12.243,12.228,12.31,12.415,11.861,12.188,12.703,12.978
IC_0417,NOMINAL,12.075,12.12,12.185,12.153,10.139,10.509,11.185,11.034
IC_0418,NOMINAL,11.821,11.928,11.863,11.963,11.415,11.942,12.085,12.486
IC_0419,NOMINAL,12.078,12.072,12.197,12.277,10.081,10.648,11.121,11.263
IC_0420,NOMINAL,12.429,12.438,12.455,12.535,12.473,12.718,13.208,13.558
IC_0421,NOMINAL,11.589,11.637,11.621,11.794,12.106,12.358,13.029,13.324
IC_0422,NOMINAL,12.053,12.086,12.153,12.192,9.701,9.81,10.788,10.999
IC_0423,NOMINAL,11.72,11.706,11.799,11.899,11.166,11.372,11.773,12.113
IC_0424,NOMINAL,12.478,12.547,12.542,12.611,10.774,11.041,11.356,11.682
IC_0425,NOMINAL,11.391,11.507,11.422,11.503,11.642,11.789,12.135,12.192
IC_0426,NOMINAL,11.776,11.81,11.847,11.914,8.842,9.146,9.63,9.72
IC_0427,NOMINAL,12.151,12.138,12.24,12.271,10.823,11.127,11.591,11.78
IC_0428,NOMINAL,12.626,12.595,12.727,12.839,11.27,11.621,12.197,12.357
IC_0429,NOMINAL,11.974,12.007,12.057,12.052,7.89,8.078,8.778,8.491
IC_0430,NOMINAL,11.778,11.851,11.846,11.899,8.58,8.962,9.374,9.585
IC_0431,NOMINAL,12.752,12.806,12.915,12.979,7.553,8.052,8.619,9.039
IC_0432,NOMINAL,11.421,11.453,11.482,11.569,9.677,9.917,10.414,11.013
IC_0433,NOMINAL,11.12,11.127,11.24,11.315,10.861,11.446,11.635,11.912
IC_0434,NOMINAL,12.176,12.158,12.31,12.382,11.803,12.112,12.63,12.867
IC_0435,NOMINAL,11.799,11.863,11.919,11.943,10.089,10.466,11.051,11.098
IC_0436,NOMINAL,11.592,11.657,11.679,11.772,11.954,12.42,12.711,12.719
IC_0437,NOMINAL,12.283,12.249,12.354,12.383,8.344,8.722,9.098,9.18
IC_0438,NOMINAL,12.098,12.185,12.218,12.254,7.956,8.395,8.389,9.033
IC_0439,NOMINAL,11.774,11.831,11.829,11.96,9.933,10.392,10.807,11.074
IC_0440,NOMINAL,11.488,11.572,11.542,11.655,10.461,10.716,11.368,11.41
IC_0441,NOMINAL,12.349,12.32,12.415,12.454,9.961,10.322,10.731,10.787
IC_0442,NOMINAL,12.26,12.232,12.399,12.336,7.519,7.681,8.339,8.754
IC_0443,NOMINAL,11.96,11.982,12.067,12.126,9.893,10.251,10.661,11.107
IC_0444,NOMINAL,12.739,12.791,12.809,12.829,8.435,8.836,9.342,9.923
IC_0445,NOMINAL,11.572,11.675,11.664,11.726,10.804,11.164,11.578,11.893
IC_0446,NOMINAL,11.39,11.45,11.472,11.597,10.44,10.818,11.43,11.613
IC_0447,NOMINAL,11.723,11.736,11.769,11.849,8.872,8.868,9.554,9.434
IC_0448,NOMINAL,11.982,11.968,12.112,12.205,9.383,9.643,10.219,10.576
IC_0449,NOMINAL,12.097,12.175,12.137,12.288,8.729,9.095,9.435,9.554
IC_0450,NOMINAL,11.904,11.887,12.042,11.996,9.925,10.228,10.224,10.75
IC_0451,NOMINAL,12.141,12.231,12.259,12.277,11.146,11.309,12.017,11.882
IC_0452,NOMINAL,11.499,11.52,11.649,11.666,8.817,9.403,9.628,9.854
IC_0453,NOMINAL,12.578,12.665,12.639,12.641,10.605,10.773,11.139,11.325
IC_0454,NOMINAL,11.967,12.023,12.058,12.083,9.364,9.869,10.271,10.297
IC_0455,NOMINAL,12.447,12.466,12.473,12.557,9.049,9.423,9.681,9.848
IC_0456,NOMINAL,12.137,12.139,12.19,12.174,9.872,10.053,10.65,10.579
IC_0457,NOMINAL,12.183,12.194,12.286,12.318,8.758,9.338,9.55,9.775
IC_0458,NOMINAL,12.228,12.279,12.395,12.401,9.336,9.586,10.396,10.391
IC_0459,NOMINAL,12.179,12.214,12.242,12.284,8.563,9.103,9.255,9.739
IC_0460,NOMINAL,12.257,12.268,12.357,12.455,12.358,12.935,13.492,13.755
IC_0461,NOMINAL,12.532,12.553,12.62,12.711,10.042,10.295,10.868,10.968
IC_0462,NOMINAL,12.079,12.105,12.101,12.213,9.16,9.662,9.759,9.886
IC_0463,NOMINAL,12.284,12.227,12.404,12.425,10.257,10.582,11.086,11.252
IC_0464,NOMINAL,11.964,12.01,12.028,12.136,9.865,10.256,10.374,11.03
IC_0465,NOMINAL,12.576,12.57,12.678,12.778,9.735,10.183,10.708,10.927
IC_0466,NOMINAL,11.729,11.707,11.789,11.866,10.737,11.008,11.232,11.486
IC_0467,NOMINAL,12.72,12.681,12.783,12.838,10.909,11.384,11.493,11.985
IC_0468,NOMINAL,11.984,11.936,12.064,12.123,9.363,9.782,9.803,10.05
IC_0469,NOMINAL,11.428,11.4,11.507,11.615,9.309,9.374,10.205,10.341
IC_0470,NOMINAL,12.051,12.054,12.141,12.195,9.67,10.258,10.45,10.846
IC_0471,NOMINAL,11.728,11.834,11.792,11.961,7.238,7.339,8.25,8.189
IC_0472,NOMINAL,12.336,12.342,12.439,12.458,8.182,8.672,8.849,9.009
IC_0473,NOMINAL,11.739,11.773,11.896,11.884,11.64,12.147,12.138,12.468
IC_0474,NOMINAL,11.822,11.865,11.92,11.943,11.974,12.159,12.583,13.044
IC_0475,NOMINAL,11.244,11.281,11.391,11.424,9.701,10.039,10.778,11.022
IC_0476,NOMINAL,11.819,11.849,11.875,11.927,10.692,10.943,11.597,11.78
IC_0477,NOMINAL,11.03,11.017,11.151,11.19,10.374,10.768,11.242,11.655
IC_0478,NOMINAL,11.366,11.456,11.43,11.493,13.695,14.048,14.611,14.518
IC_0479,NOMINAL,12.304,12.403,12.332,12.448,11.343,11.786,12.145,12.181
IC_0480,NOMINAL,12.314,12.278,12.388,12.518,9.846,10.428,10.871,10.934
IC_0481,NOMINAL,12.17,12.157,12.31,12.343,8.853,9.408,9.84,9.697
IC_0482,NOMINAL,11.613,11.627,11.736,11.653,8.072,8.304,8.723,8.83
IC_0483,NOMINAL,11.981,11.975,12.1,12.237,10.244,10.621,10.956,11.305
IC_0484,NOMINAL,11.999,12.041,12.013,12.131,9.092,9.122,9.659,9.938
IC_0485,NOMINAL,11.537,11.541,11.641,11.684,8.293,8.591,9.265,9.454
IC_0486,NOMINAL,12.601,12.716,12.707,12.756,9.224,9.718,9.857,9.879
IC_0487,NOMINAL,12.351,12.429,12.459,12.518,8.702,9.321,9.398,9.454
IC_0488,NOMINAL,11.912,11.951,11.94,12.047,12.025,12.219,12.923,13.013
IC_0489,NOMINAL,12.011,12.085,12.087,12.196,11.058,11.386,11.981,12.312
IC_0490,NOMINAL,12.083,12.158,12.181,12.219,9.99,10.363,10.834,10.648
IC_0491,NOMINAL,11.183,11.191,11.304,11.326,11.776,12.191,12.493,12.76
IC_0492,NOMINAL,11.901,11.891,11.89,11.996,10.093,10.258,10.697,10.828
IC_0493,NOMINAL,11.727,11.759,11.816,11.822,8.966,9.388,9.625,10.191
IC_0494,NOMINAL,11.599,11.658,11.685,11.733,11.828,12.056,12.629,12.622
IC_0495,NOMINAL,11.888,11.925,12.026,12.078,10.647,11.037,11.676,11.819
IC_0496,NOMINAL,12.719,12.685,12.842,12.892,8.755,9.194,9.274,9.79
IC_0497,NOMINAL,12.256,12.255,12.382,12.452,9.772,10.156,10.487,10.541
IC_0498,NOMINAL,11.772,11.791,11.815,11.905,8.949,9.166,9.355,9.867
IC_0499,NOMINAL,12.229,12.249,12.23,12.331,8.341,8.614,8.888,9.195
